run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x64_O3_5hops,coreutils_x64_O3_5hops,coreutils,x64,O3,62000.0,67.81,350,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,745,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_arm64_O3_5hops,coreutils_arm64_O3_5hops,coreutils,arm64,O3,118272.0,92.7,751,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,223,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x86_O0_5hops,coreutils_x86_O0_5hops,coreutils,x86,O0,58662.0,56.73,227,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,812,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_armhf_O3_5hops,coreutils_armhf_O3_5hops,coreutils,armhf,O3,119105.0,92.68,819,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,250,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x64_O2_5hops,coreutils_x64_O2_5hops,coreutils,x64,O2,45954.0,63.49,254,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,333,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x86_O3_5hops,coreutils_x86_O3_5hops,coreutils,x86,O3,73242.0,70.07,337,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,348,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_arm64_O0_5hops,coreutils_arm64_O0_5hops,coreutils,arm64,O0,79462.0,92.86,354,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,248,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x86_O2_5hops,coreutils_x86_O2_5hops,coreutils,x86,O2,51738.0,65.91,252,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,559,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_armhf_O1_5hops,coreutils_armhf_O1_5hops,coreutils,armhf,O1,83122.0,93.6,564,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,394,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_arm64_O1_5hops,coreutils_arm64_O1_5hops,coreutils,arm64,O1,68528.0,92.65,399,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,656,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_armhf_O2_5hops,coreutils_armhf_O2_5hops,coreutils,armhf,O2,90912.0,93.63,662,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,514,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_arm64_O2_5hops,coreutils_arm64_O2_5hops,coreutils,arm64,O2,96370.0,93.37,521,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,527,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_armhf_O0_5hops,coreutils_armhf_O0_5hops,coreutils,armhf,O0,97966.0,92.84,533,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,267,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x64_O1_5hops,coreutils_x64_O1_5hops,coreutils,x64,O1,43652.0,62.89,271,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,559,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,complex_5hops,complex_5hops,complex_5hops,,,94203.0,74.4,565,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,327,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_resym_train_ep35,resym_test_5hops,resym_test_5hops,resym_test_5hops,,,81303.0,43.67,333,Binary Ninja on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,tydamin_sample_5hops,tydamin_sample_5hops,tydamin_sample_5hops,,,185716.0,47.91,1049,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,264,IDA Pro on Ghidra
